Code,Name,PGN,,,,
A00,Ekolu Variation,1.e3 e5 2.Nc3 d5 3.f4 exf4 4.Nf3,,,,
A00,Alua Variation,1.e3 e5 2.Nc3 Nc6 3.f4 exf4 4.Nf3,,,,
A00,Akahi Variation,1.e3 e5 2.Nc3 Nf6 3.f4 exf4 4.Nf3,,,,
A00,Barnes; Gedult-Gunderam; Walkerling,1.f3ï¿½ï¿½,,,,
A00,King's Head Opening,1.f3 e5 2.e4,,,,
A00,Hammerschlag; Pork Chop Opening,1.f3 e5 2.Kf2,,,,
A00,Benko; Barczay; Bilek; Hungarian,1.g3ï¿½ï¿½,,,,
A00,Gambit 59,1.g3 d5 2.Bg2 e5 3.b4,,,,
A00,Regan Variation,1.g3 d5 2.Bg2 e5 3.d4,,,,
A00,Reversed Alekhine,1.g3 e5 2.Nf3,,,,
A00,Lasker Simul Special,1.g3 h5,,,,
A00,Grob; Ahlhausen; Colibri; Fric; Genoa; Spike,1.g4,,,,
A00,Grob Gambit,1.g4 d5 2.Bg2 Bxg4,,,,
A00,"Romford Counter-Gambit, Grob",1.g4 d5 2.Bg2 Bxg4 3.c4 d4,,,,
A00,"Spike, Grob",1.g4 d5 2.Bg2 c6 3.g5,,,,
A00,"Short Spike, Grob",1.g4 d5 2.Bg2 c6 3.h3,,,,
A00,"Zilbermints Gambit, Grob",1.g4 d5 2.e4,,,,
A00,"Keene Defense, Grob",1.g4 d5 2.h3 e5,,,,
A00,"Hurst Attack, Grob",1.g4 e5 2.Bg2 d5 3.c4,,,,
A00,"Alessi Gambit, Grob",1.g4 f5,,,,
A00,Double Grob,1.g4 g5,,,,
A00,Spike Deferred,1.g4 g6 2.d3,,,,
A00,"Bucker Defense, Grob",1.g4 Nh6,,,,
A00,Clemenz Opening,1.h3,,,,
A00,Kadas Opening,1.h4,,,,
A00,Despres Opening,1.h4,,,,
A00,Koola-Koola,1.h4 a5,,,,
A00,Wulumulu,1.h4 e5 2.d4,,,,
A00,Durkin's Opening; Sodium Attack,1.Na3,,,,
A00,Dunst; Heinrichsen; Will Bull; Kotrc,1.Nc3,,,,
A00,"St. George Defense, Dunst",1.Nc3 a6,,,,
A00,"Novosibirsk Variation, Dunst",1.Nc3 c5 2.d4 cxd4 3.Qxd4 Nc6 4.Qh4,,,,
A00,"Twyble Attack, Dunst",1.Nc3 c5 2.Rb1,,,,
A00,Dunst Gambit,1.Nc3 d5 2.e4 dxe4 3.d3,,,,
A00,"Pseudo-Diemer Gambit, Dunst",1.Nc3 d5 2.e4 dxe4 3.f3 exf3 4.Qxf3,,,,
A00,"Amazon, Dunst",1.Nc3 d5 2.e4 dxe4 3.Nxe4 Qd5,,,,
A00,Reversed Nimzovich,1.Nc3 e5ï¿½ï¿½ï¿½,,,,
A00,"Battambang, Dunst",1.Nc3 e5 2.a3,,,,
A00,Irish Attack; Polish Attack,1.Nc3 e5 2.f4,,,,
A00,"Napoleon Attack, Dunst",1.Nc3 e5 2.Nf3,,,,
A00,"Glasscoe Gambit, Dunst",1.Nc3 f5 2.g4,,,,
A00,"Anti-Pirc Variation, Dunst",1.Nc3 g6 2.h4,,,,
A00,"Tubingen Gambit, Dunst",1.Nc3 Nf6 2.g4,,,,
A00,Amar; Paris Opening,1.Nh3,,,,
A00,Drunken Knight Opening,1.Nh3,,,,
A00,Krazy Kat,1.Nh3 e5 2.f3 d5 3.Nf2,,,,
A01,Larsen; Queen's Fianchetto; Nimzo-Larsen Attack A01,1.b3,,,,
A01,"Symmetrical Variation, Larsen",1.b3 b6,,,,
A01,"English Variation, Larsen",1.b3 c5,,,,
A01,"Classical Variation, Larsen",1.b3 d5,,,,
A01,"Modern Variation, Larsen",1.b3 e5,,,,
A01,"Ringelbach Gambit, Larsen",1.b3 e5 2.Bb2 f5 3.e4,,,,
A01,"Paschmann Gambit, Larsen",1.b3 e5 2.Bb2 Nc6 3.f4,,,,
A01,"Dutch Variation, Larsen",1.b3 f5,,,,
A01,"Indian Variation, Larsen",1.b3 Nf6ï¿½ï¿½ï¿½,,,,
A01,"Spike Variation, Larsen",1.b3 Nf6 2.Bb2 g6 3.g4,,,,
A02,ï¿½Bird's Opening; Dutch Attack,1.f4,,,,
A02,"From's Gambit, Bird",1.f4 e5,,,,
A02,Canard Formation; Double Duck,1.f4 f5 2.d4 d5,,,,
A02,"Pawn Thrust Attack, Bird",1.f4 f5 2.d4 d5,,,,
A02,"Swiss Gambit, Bird",1.f4 f5 2.e4 fxe4 3.Nc3 Nf6 4.g4,,,,
A02,"Hobbs Gambit, Bird",1.f4 g5,,,,
A02,"Batavo Polish Attack, Bird",1.f4 Nf6 2.Nf3 g6 3.b4,,,,
A03,A03,1.f4 d5,,,,
A03,Sturm; Mujannahï¿½,1.f4 d5 2.c4,,,,
A03,"Prokofiev Gambit, Bird",1.f4 d5 2.e4 dxe4 3.d3,,,,
A03,"Williams Gambit, Bird",1.f4 d5 2.e4 dxe4 3.Nc3,,,,
A03,"Horsefly Defense, Bird",1.f4 Nh6,,,,
A04,Reti; Zukertort; A04,1.Nf3ï¿½ï¿½,,,,
A04,Wade Defense,1.Nf3 d6,,,,
A04,Lisitsin Gambit; Polish Gambit,1.Nf3 f5 2.e4ï¿½ï¿½,,,,
A04,Rydel-Bloodgood Gambit,1.Nf3 f5 2.e4 exf4 3.Ne5,,,,
A04,Polish G; Dalesio G; Pirc-Lisitsin G,1.Nf3 f5 2.e4 fxe4 3.Ng5,,,,
A04,"Herrstrom Gambit, Reti",1.Nf3 g5,,,,
A04,Oberndorfer Gambit; Reti,1.Nf3 g5,,,,
A04,Lessing Defense,1.Nf3 Nc6,,,,
A05,King's Indian Attack; Reti; Zukertort; A05,1.Nf3 Nf6,,,,
A06,A06,1.Nf3 d5,,,,
A06,"Nimzovich Opening, Reti",1.Nf3 d5 2.b3,,,,
A06,"Bloodgood Gambit, Reti",1.Nf3 d5 2.b3 c5 3.e4 dxe4 4.Ne5,,,,
A06,"Santasiere's Folly, Reti",1.Nf3 d5 2.b4,,,,
A06,Old Indian Attack,1.Nf3 d5 2.d3,,,,
A06,Tennison G; Lemberg G; Abonyi G,1.Nf3 d5 2.e4,,,,
A06,"Reversed Mexican Defense, Reti",1.Nf3 d5 2.Nc3,,,,
A06,"Ampel Variation, Reti",1.Nf3 d5 2.Rg1,,,,
A06,"Improved Lisitsin G, Reti",1.Nf3 f5 2.d3,,,,
A07,"Barcza Opening, Reti; A07",1.Nf3 d5 2.g3,,,,
A08,A08,1.Nf3 d5 2.g3 c5,,,,
A09,Reti; Landstrasser G; Wolf G; A09,1.Nf3 d5 2.c4ï¿½ï¿½,,,,
A09,"London V; New York V, Reti",1.Nf3 d5 2.c4 c6 3.b3 Nf6 4.Bg2 e6 5.Bb2 Nbd7,,,,
A09,Benoni Reversed; Wing Blumenfeld,1.Nf3 d5 2.c4 d4ï¿½ï¿½,,,,
A09,Reti Polonaise,1.Nf3 d5 2.c4 d4 3.b4,,,,
A09,"Penguin Variation, Reti",1.Nf3 d5 2.c4 d4 3.Rg1,,,,
A09,Reti Gambit Accepted,1.Nf3 d5 2.c4 dxc4,,,,
A09,"Neo-Catalan, Reti",1.Nf3 d5 2.c4 e6 3.g3,,,,
A10,English Opening; A10,1.c4,,,,
A10,"Halibut Gambit, English",1.c4 b5,,,,
A10,"Anglo Scandanavian Defense, English",1.c4 d5,,,,
A10,"Loehn Gambit, English",1.c4 d5 2.cxd5 e6,,,,
A10,"Schulz Gambit, English",1.c4 d5 2.cxd5 Nf6,,,,
A10,"Malvinas Variation, English",1.c4 d5 2.cxd5 Qxd5 3.Nc3 Qa5,,,,
A10,Anglo-Dutch Defense,1.c4 f5,,,,
A10,Anglo-Polish Dutch,1.c4 f5 2.b4,,,,
A10,"Hickmann Gambit, English",1.c4 f5 2.e4,,,,
A10,"Hickmann Gambit, English",1.c4 f5 2.e4 fxe4 3.d3,,,,
A10,"Porcupine Variation, English",1.c4 f5 2.e4 fxe4 3.Nc3 Nf6 4.g4,,,,
A10,"Wade Gambit, English",1.c4 f5 2.g4,,,,
A10,English Spike,1.c4 f5 2.g4,,,,
A10,"Chabanon Gambit, English",1.c4 f5 2.Nf3 d6 3.e4,,,,
A10,"Myers Defense, English",1.c4 g5 2.d4 Bg7,,,,
A10,"Zilbermints Gambit, English",1.c4 g5 2.d4 e5,,,,
A10,"Great Snake, English",1.c4 g6ï¿½ï¿½,,,,
A10,"Adorjan System, English",1.c4 g6 2.e4 e5,,,,
A10,Beefeater,1.c4 g6 2.Nc3 Bg7 3.d4 c5 4.d5 Bxc3 5.bxc3 f5,,,,
A10,"Anglo-Lithuanian Variation, English",1.c4 Nc6,,,,
A11,"Anglo-Slav, English; A11",1.c4 c6,,,,
A12,A12,1.c4 c6 2.Nf3 d5 3.b3,,,,
A12,"Bled Variation, English",1.c4 c6 2.Nf3 d5 3.b3 Nf6 4.g3 g6,,,,
A13,"Agincourt; Kurajica Defense, English; A13",1.c4 e6,,,,
A13,English Defense,1.c4 e6 2.d4 b6,,,,
A13,"King's Knight Variation, English",1.c4 e6 2.Nf3 d5,,,,
A13,"Wimpy System, English",1.c4 e6 2.Nf3 d5 3.b3 Nf6 4.Bb2 c5 e3,,,,
A13,"Afincourt Variation, English",1.c4 e6 2.Nf3 d5 3.g3,,,,
A13,"Kurajica Defense, English",1.c4 e6 2.Nf3 d5 3.g3 c6,,,,
A13,"Neo Catalan, English",1.c4 e6 2.Nf3 d5 3.g3 Nf6,,,,
A13,"Neo Catalan Accepted, English",1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 dxc4,,,,
A13,"Romanishin Gambit, English",1.c4 e6 2.Nf3 Nf6 3.g3 a6 4.Bg2 b5,,,,
A14,A14,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7,,,,
A14,"Neo Catalan Declined, English",1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7 5.O-O,,,,
A14,"Keres Defense, English",1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7 5.O-O c5 6.cxd5 Nxd5 7.Nc3 Nc6,,,,
A15,"Anglo System, English; A15",1.c4 Nf6,,,,
A15,"Mikenas-Carls Variation, English",1.c4 Nf6,,,,
A15,English Orangutan,1.c4 Nf6 2.b4,,,,
A15,Shirazi Shove,1.c4 Nf6 2.g3 h5,,,,
A15,"King's Knight Variation, English",1.c4 Nf6 2.Nf3,,,,
A15,"Romanishin Variation, English",1.c4 Nf6 2.Nf3 e6 3.g3 a6,,,,
A16,A16,1.c4 Nf6 2.Nc3,,,,
A16,"Golombek Defense, English; Anti English",1.c4 Nf6 2.Nc3 d5,,,,
A16,"Czech Variation, English",1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.g3 g6 5.Bg2 Nb6,,,,
A16,"Korchnoi's Variation, English",1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.Nf3 g6 5.g3 Bg7 6.Bg2 e5,,,,
A16,"Stein Attack, English",1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.Nf3 g6 5.Qa4+,,,,
A16,Anti-anti-grunfeld,1.c4 Nf6 2.Nc3 g6 3.Nf3 Bg7 4.e4,,,,
A17,"Smyslov Defense, English",1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.g3 g6 5.Bg2 Nxc3,,,,
A17,"Hegehog System, Anglo-Indian English; A17",1.c4 Nf6 2.Nc3 e6,,,,
A17,Nimzo-English Opening,1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4,,,,
A17,"Zviagintsev-Krasenkov Attack, English",1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4 4.g4,,,,
A18,"Flohr-Mikenas-Carls Variation, English; A18",1.c4 Nf6 2.Nc3 e6 3.e4,,,,
A18,"Kevitz Defense, English",1.c4 Nf6 2.Nc3 e6 3.e4 Nc6,,,,
A18,"Queen's Indian Formation, English",1.c4 Nf6 2.Nc3 e6 3.Nf3 b6,,,,
A19,"Floh-Mikenas-Carls Variation, English; A19",1.c4 Nf6 2.Nc3 e6 3.e4 c5,,,,
A19,"Nei Gambit, English",1.c4 Nf6 2.Nc3 e6 3.e4 c5 4.e5 Ng8,,,,
A20,King's English; A20,1.c4 e5ï¿½ï¿½,,,,
A20,"Kahiko-Hula Gambit, English",1.c4 e5 2.e3 Nf6 4.f4 exf4 4.Nf3,,,,
A20,"Double Whammy, English",1.c4 e5 2.f4,,,,
A20,"Drill Variation, English",1.c4 e5 2.g3 h5,,,,
A20,"Nimzovich Variation, English",1.c4 e5 2.Nf3,,,,
A20,"Nimzovich-Flohr Variation, English",1.c4 e5 2.Nf3 e4,,,,
A20,English Queen,1.c4 e5 2.Qa4,,,,
A21,"Reversed Sicilian, English; A21",1.c4 e5 2.Nc3,,,,
A21,"Kramnik-Shirov Variation, English",1.c4 e5 2.Nc3 Bb4,,,,
A21,"Troger Variation, English",1.c4 e5 2.Nc3 d6 3.g3 Be6 4.Bg2 Nc6,,,,
A21,"Keres Defense, English",1.c4 e5 2.Nc3 d6 3.g3 c6,,,,
A21,"General Variation, King's English",1.c4 e5 2.Nc3 d6 3.Nf3,,,,
A21,"Smyslov Variation, English",1.c4 e5 2.Nc3 d6 3.Nf3 Bg4,,,,
A21,Anglo-Dutch,1.c4 e5 2.Nc3 f5,,,,
A22,"Two Knights Variation, English; A22",1.c4 e5 2.Nc3 Nf6,,,,
A22,"Mazedonisch Variation, English",1.c4 e5 2.Nc3 Nf6 3.f4,,,,
A22,"Bremen; Carls Variation, English",1.c4 e5 2.Nc3 Nf6 3.g3,,,,
A22,"Kapengut; Smyslov; Modern V, English",1.c4 e5 2.Nc3 Nf6 3.g3 Bb4,,,,
A22,"Bellon Gambit, English",1.c4 e5 2.Nc3 Nf6 3.Nf3 e4 4.Ng5 b5,,,,
A22,"Erbenheimer Gambit, English",1.c4 e5 2.Nc3 Nf6 3.Nf3 e4 4.Ng5 Ng4,,,,
A23,"Keres Variation, English; A23",1.c4 e5 2.Nc3 Nf6 3.g3 c6,,,,
A23,"Reversed Dragon, English",1.c4 e5 2.Nc3 Nf6 3.g3 d5,,,,
A24,"Fianchetto Lines, Two Knights Variation, English; A24",1.c4 e5 2.Nc3 Nf6 3.g3 g6,,,,
A24,"Prickly Pawn Pass System, English",1.c4 e5 2.Nc3 Nf6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.e4 O-O 7.Nge2 c6 8.O-O a6,,,,
A25,"Reversed Closed Sicilian, English; A25",1.c4 e5 2.Nc3 Nc6,,,,
A25,"Troger Variation, English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Be6,,,,
A25,"Taimanov Variation, English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7,,,,
A25,"Hungarian Attack, English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 4.Rb1,,,,
A25,"Closed System, Full Symmetry, King's English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6,,,,
A25,"Botvinnik System, King's English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.e4,,,,
A25,"Bremen-Hort Variation, English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e3 d6 6.Nge2 Be6,,,,
A25,"Botvinnik Variation, English",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e4,,,,
A26,"Closed System, King's English; A26",1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3,,,,
A27,"Three Knights System, English; A27",1.c4 e5 2.Nc3 Nc6 3.Nf3,,,,
A28,"Four Knights Variation, English; A28",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6,,,,
A28,"Korchnoi Line, English",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.a3,,,,
A28,"Flexible Line, English",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d3,,,,
A28,"Bradley Beach Variation, English",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d4 e4,,,,
A28,"Four Knights Variation, Englishï¿½ï¿½",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d4 exd4 5.Nxd4Bb4 6.Bg5 h6 7.Bh4 Bxc3+ 8.bxc3 Ne5,,,,
A28,"Quiet Line, English",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e3,,,,
A28,"Romanishin Variation, English",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e3 Bb4 5.Qc2 Bxc3,,,,
A28,"Keene; Stean Variation, English",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e3 Bb4 5.Qc2 O-O 6.Nd5 Re8 7.Qf5,,,,
A28,"Botvinnik Line, English",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e4,,,,
A29,"Fianchetto Line, Four Knights English; A29",1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.g3,,,,
A30,"Symmetrical Defense, English; A30",1.c4 c5ï¿½ï¿½,,,,
A30,"Wing Variation, English",1.c4 c5 2.b4,,,,
A30,"Napolitano Gambit, Symmetrical English",1.c4 c5 2.Nf3 Nf6 3.b4,,,,
A30,"Hedgehog Variation, Symmetrical English",1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5.O-O e6 6.Nc3 Be7,,,,
A30,"Double Fianchetto Defense, English",1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5.O-O g6,,,,
A31,"Anti-Benoni Variation, Symmetrical English; A31",1.c4 c5 2.Nf3 Nf6 3.d4,,,,
A31,"Two Knights Variation, English",1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4,,,,
A32,"Spielmann Defense, Symmetrical English; A32",1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6,,,,
A33,A33,1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6 5.Nc3 Nc6,,,,
A33,"Geller Variation, Symmetrical English",1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6 5.Nc3 Nc6 6.g3 Qb6,,,,
A34,"Normal Variation, Symmetrical English; A34",1.c4 c5 2.Nc3,,,,
A34,"Fianchetto Variation, Symmetrical Englishï¿½ï¿½",1.c4 c5 2.Nc3 Nf6 3.g3,,,,
A34,"Rubinstein Variation, Symmetrical English",1.c4 c5 2.Nc3 Nf6 3.g3 d5 4.cxd5 Nxd5 5.Bg2 Nc7,,,,
A34,"Asymmetrical Variation, English",1.c4 c5 2.Nc3 Nf6 3.Nf3 d5 4.cxd5 Nxd5,,,,
A34,"Keres-Parma System, English",1.c4 c5 2.Nc3 Nf6 3.Nf3 e6 4.g3 Nc6,,,,
A34,"Four Knights Variation, Symmetrical English",1.c4 c5 2.Nc3 Nf6 3.Nf3 Nf6,,,,
A35,"Two Knights Variation, Symmetrical English; A35",1.c4 c5 2.Nc3 Nc6ï¿½ï¿½ï¿½,,,,
A36,"Fianchetto Variation, Symmetrical English; A36",1.c4 c5 2.Nc3 Nc6 3.g3,,,,
A36,"Symmetrical Variation, Symmetrical English",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7,,,,
A36,"Botvinnik System Reversed, Symmetrical English",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e3 e5,,,,
A36,"Botvinnik Variation, Symmetrical English",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e4,,,,
A37,"Two Knights Line, Symmetrical English; A37",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3,,,,
A38,"Full Symmetry Line, Symmetrical English; A38",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6,,,,
A38,"Double Fianchetto, Symmetrical English",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.b3,,,,
A38,"Duchamp Variation, Symmetrical English",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.d3,,,,
A39,"Mecking Variation, Symmetrical English; A39",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.d4,,,,
A40,"Hartlaub Gambit, English",1.c4 b6 2.d4 Bb7 3.Nc3 e6 4.e4 f5 5.exf5 Nf6,,,,
A40,Queen Pawn Opening; A40,1.d4,,,,
A40,St George's Gambit,1.d4 a6 2.c4 b5 3.e4 e6 4.cxb5 axb5,,,,
A40,Polish Defense,1.d4 b5ï¿½ï¿½,,,,
A40,"Spassky Gambit, Polish Defense",1.d4 b5 2.e4 Bb7 3.Bxb5,,,,
A40,"Queen Fianchetto, Queen Pawn Game",1.d4 b6,,,,
A40,Eastbourne Gambit,1.d4 b6 2.c4 Bb7 3.Bxb5,,,,
A40,Charlick Gambit; Englund Gambit,1.d4 e5,,,,
A40,Englund Gambit Declined,1.d4 e5 2.d5,,,,
A40,Diemer Counterattack,1.d4 e5 2.d5 Bc5 3.e4 Qh4,,,,
A40,Thuring Gambit; Hartlaub-Charlick Gambit,1.d4 e5 2.dxe5 d6,,,,
A40,Soller; Purchas Gambit,1.d4 e5 2.dxe5 f6,,,,
A40,Englund; Behting Gambit,1.d4 e5 2.dxe5 Nc6ï¿½ï¿½,,,,
A40,Felbecker Gambit,1.d4 e5 2.dxe5 Nc6 3.Nf3 Bc5,,,,
A40,Soller Gambit Deferred,1.d4 e5 2.dxe5 Nc6 3.Nf3 f6,,,,
A40,"Zilbermints Gambit II, Englund Gambit",1.d4 e5 2.dxe5 Nc6 3.Nf3 h6,,,,
A40,"Zilbermints Gambit, Englund Gambit",1.d4 e5 2.dxe5 Nc6 3.Nf3 Nge7,,,,
A40,Englund Gambit,1.d4 e5 2.dxe5 Nc6 3.Nf3 Qe7,,,,
A40,"Stockhom Variation, Englund Gambit",1.d4 e5 2.dxe5 Nc6 3.Nf3 Qe7 4.Qd5,,,,
A40,"Mosquito Gambit, Englund",1.d4 e5 2.dxe5 Qh4,,,,
A40,Horwitz Defense,1.d4 e6,,,,
A40,Franco-Indian Defense,1.d4 e6,,,,
A40,"Seneschaud Variation, Dutch",1.d4 e6 2.Bf4 f5 3.g4,,,,
A40,English Defense,1.d4 e6 2.c4 b6,,,,
A40,Perrin Variation,1.d4 e6 2.c4 b6 3.e4 Bb7 4.Bd3 Nc6,,,,
A40,Poli Gambit,1.d4 e6 2.c4 b6 3.e4 Bb7 4.f3 f5 5.exf5 Nh6,,,,
A40,Hartlaub Gambit Declined,1.d4 e6 2.c4 b6 3.Nc3 Bb7 4.e4 f5 5.d5,,,,
A40,Hartlaub Gambit Accepted,1.d4 e6 2.c4 b6 3.Nc3 Bb7 4.e4 f5 5.exf5 Nf6,,,,
A40,"Keres Defense, Indian; Kangaroo Defense",1.d4 e6 2.c4 Bb4+,,,,
A40,"Transpositional Variation, Keres Defense",1.d4 e6 2.c4 Bb4+ 3.Nc3,,,,
A40,Zilbermints Gambit,1.d4 e6 2.c4 e5,,,,
A40,Borg Gambit,1.d4 g5,,,,
A40,Queen Pawn Fianchetto,1.d4 g6,,,,
A40,Kotov-Robatsch Defense,1.d4 g6 2.c4 Bg7,,,,
A40,Pseudo-Saemisch,1.d4 g6 2.c4 Bg7 3.e4 d6 4.Be3 Nf6 5.f3,,,,
A40,Rossolimo Variation,1.d4 g6 2.c4 Bg7 3.e4 d6 4.Nf3 Bg4,,,,
A40,Neo-Modern Defense,1.d4 g6 2.c4 Bg7 3.e4 e5,,,,
A40,Beefeater Variation,1.d4 g6 2.c4 Bg7 3.Nc3 c5 4.d5 Bxc3+ 5.bxc3 f5,,,,
A40,Modern Defense,1.d4 g6 2.c4 Bg7 3.Nc3 d6,,,,
A40,"Kotov Variation, Modern",1.d4 g6 2.c4 Bg7 3.Nc3 d6 4.e4 Nc6,,,,
A40,Lizard Defense; Pirc-Diemer Gambit,1.d4 g6 2.h4 Nf6 3.h5,,,,
A40,Bogoljubov; Mikenas-Van Geet Defense,1.d4 Nc6,,,,
A40,Lundin Defense,1.d4 Nc6,,,,
A40,"Lithuanian Variation, Mikenas",1.d4 Nc6 2.c4 e5 3.d5 Nce7,,,,
A40,"Cannstatter Variation, Mikenas",1.d4 Nc6 2.c4 e5 3.d5 Nd4,,,,
A40,Pozarek Gambit,1.d4 Nc6 2.c4 e5 3.dxe5 Nxe5 4.Nc3 Nxc4,,,,
A40,Montevideo Defense,1.d4 Nc6 2.d5 Nb8,,,,
A40,Zaire Defense,1.d4 Nc6 2.d5 Nb8 3.e4 Nf6 5.e5 Ng8,,,,
A40,Polish Variation,1.e4 g6 2.d4 Bg7 3.c4 c5 4.Nf3 Qb6,,,,
A40,"Dunworth Variation, Modern Defense",1.e4 g6 2.d4 Bg7 3.c4 d5 4.exd5 c6 5.dxc6 Bxd4,,,,
A41,Anglo-Slav Opening,1.d4 c6 2.c4 d6,,,,
A41,Pillsbury Defense; A41; Rat Defense,1.d4 d6ï¿½ï¿½,,,,
